"Founded year of startups","Startup industry","Number of startups in this industry","Total number of founded startups","Percentage of startups by industry"
2012," Fashion ",61,4897,0.0124566060853584
2012," Mobile ",266,4897,0.054318970798448
2012," Real Estate ",50,4897,0.0102103328568511
2012," Social Media ",134,4897,0.027363692056361
2012," Software ",418,4897,0.0853583826832755
2012," Travel ",59,4897,0.0120481927710843
2013," Biotechnology ",92,3751,0.0245267928552386
2013," Consulting ",48,3751,0.0127965875766462
2013," E-Commerce ",192,3751,0.0511863503065849
2013," Education ",92,3751,0.0245267928552386
2013," Fashion ",42,3751,0.0111970141295654
2013," Mobile ",149,3751,0.039722740602506
2013," Real Estate ",62,3751,0.0165289256198347
2013," Social Media ",86,3751,0.0229272194081578
2013," Software ",282,3751,0.0751799520127966
2013," Travel ",40,3751,0.0106638229805385
