 market , funding_total_usd ,status,country_code,state_code,region,city,funding_rounds,founded_at,founded_month,founded_quarter,founded_year
 Photography ,"3,536,500",operating,USA,DE,"Wilmington, Delaware",Wilmington,3,8/1/90,1990-08,1990-Q3,1990
 Retail , -   ,operating,USA,IL,Chicago,Bolingbrook,1,1/1/90,1990-01,1990-Q1,1990
 Software ,"6,088,273",operating,USA,FL,Ft. Lauderdale,Weston,2,1/1/90,1990-01,1990-Q1,1990
 Health Care ,"3,000,000",operating,USA,NY,NY - Other,Newark Valley,1,1/1/90,1990-01,1990-Q1,1990
 Biotechnology ,"3,000,000",,USA,NY,"Rochester, New York",Rochester,1,1/1/90,1990-01,1990-Q1,1990
 Software ,"17,300,000",operating,USA,VA,"Washington, D.C.",Reston,1,1/1/90,1990-01,1990-Q1,1990
 Health and Wellness ,"1,135,000",operating,USA,NJ,Newark,Fair Lawn,2,1/1/90,1990-01,1990-Q1,1990
 Games ,"450,000",operating,USA,NY,Long Island,Smithtown,1,5/1/91,1991-05,1991-Q2,1991
 Health and Wellness ,"6,790,000",operating,USA,IL,Chicago,Des Plaines,2,1/1/91,1991-01,1991-Q1,1991
 Medical , -   ,operating,USA,CA,Ontario - Inland Empire,Covina,1,2/1/91,1991-02,1991-Q1,1991
 Enterprises ,"12,500,000",operating,USA,NJ,Newark,Fairfield,2,1/1/91,1991-01,1991-Q1,1991
 Consulting ,"64,700,000",operating,USA,NJ,Newark,East Brunswick,2,1/1/91,1991-01,1991-Q1,1991
 Software ,"300,000",operating,USA,TX,Dallas,Hurst,1,1/1/91,1991-01,1991-Q1,1991
 Web Hosting ,"11,600,017",operating,USA,MA,Cape Cod,Osterville,2,1/1/91,1991-01,1991-Q1,1991
 Consulting ,"360,000",operating,USA,MA,Boston,Boston,1,1/1/91,1991-01,1991-Q1,1991
 Therapeutics ,"85,060,000",operating,USA,WA,Seattle,Seattle,5,1/1/91,1991-01,1991-Q1,1991
, -   ,acquired,USA,GA,Atlanta,Atlanta,1,1/1/91,1991-01,1991-Q1,1991
 Transportation , -   ,operating,USA,CA,Los Angeles,Gardena,1,12/1/91,1991-12,1991-Q4,1991
 Consulting ,"30,000,000",operating,USA,NJ,Newark,Morristown,1,1/1/91,1991-01,1991-Q1,1991
 Biotechnology ,"100,180,695",operating,USA,CA,SF Bay Area,Hayward,5,1/1/91,1991-01,1991-Q1,1991
 Manufacturing ,"3,725,500",operating,USA,CO,Denver,Boulder,2,1/1/91,1991-01,1991-Q1,1991
 Mobile ,"2,750,000",operating,USA,MS,Tupelo,Corinth,1,1/1/91,1991-01,1991-Q1,1991
 Enterprise Software ,"6,500,000",operating,USA,TX,Austin,Austin,1,1/1/91,1991-01,1991-Q1,1991
 Video ,"33,200,000",acquired,USA,MA,Boston,Newton,3,1/1/91,1991-01,1991-Q1,1991
 Biotechnology ,"1,010,000",operating,USA,PA,Pittsburgh,Pittsburgh,1,1/1/91,1991-01,1991-Q1,1991
 Software ,"6,200,000",acquired,USA,CA,Los Angeles,Woodland Hills,1,1/1/91,1991-01,1991-Q1,1991
,"78,000,000",operating,USA,VA,"Washington, D.C.",Dulles,1,1/1/91,1991-01,1991-Q1,1991
 Analytics ,"130,272,724",operating,USA,OR,Eugene,Bend,2,1/1/91,1991-01,1991-Q1,1991
 Real Estate ,"73,000,000",operating,USA,TX,Dallas,Plano,1,1/1/91,1991-01,1991-Q1,1991
,"42,477,641",operating,USA,MD,Baltimore,Columbia,2,1/1/91,1991-01,1991-Q1,1991
 Semiconductors ,"6,220,000",operating,USA,NM,Albuquerque,Albuquerque,1,1/1/91,1991-01,1991-Q1,1991
 Health and Wellness ,"22,687,755",operating,USA,MD,Baltimore,Owings Mills,1,1/1/91,1991-01,1991-Q1,1991
 Software ,"2,000,000",operating,USA,NH,"Manchester, New Hampshire",Bedford,1,1/1/91,1991-01,1991-Q1,1991
 Software ,"9,561,000",operating,USA,CA,Anaheim,Irvine,6,1/1/91,1991-01,1991-Q1,1991
 Software , -   ,operating,USA,MA,Boston,Cambridge,1,6/1/91,1991-06,1991-Q2,1991
 Health and Wellness , -   ,operating,USA,NY,Long Island,Hauppauge,2,1/1/91,1991-01,1991-Q1,1991
 Health and Wellness ,"40,000,000",operating,USA,AZ,Phoenix,Scottsdale,1,1/1/91,1991-01,1991-Q1,1991
 E-Commerce ,"45,000,000",operating,USA,CA,CA - Other,North Hills,1,1/1/91,1991-01,1991-Q1,1991
 Health Care ,"40,000,000",,USA,CA,SF Bay Area,Fremont,2,1/1/91,1991-01,1991-Q1,1991
 Health Care ,"7,200,000",operating,USA,CA,SF Bay Area,Newark,2,1/1/91,1991-01,1991-Q1,1991
 Health and Wellness ,"23,700,000",operating,USA,IL,Chicago,Chicago,2,1/1/91,1991-01,1991-Q1,1991
