 market , funding_total_usd ,status,country_code,state_code,region,city,funding_rounds,founded_at,founded_month,founded_quarter,founded_year
 Consumer Electronics , -   ,acquired,USA,CA,SF Bay Area,Sunnyvale,1,1/1/01,2001-01,2001-Q1,2001
 Software ,"151,650,012",operating,USA,CA,SF Bay Area,San Francisco,5,8/6/01,2001-08,2001-Q3,2001
 Mobile ,"4,588,599",operating,USA,MD,Baltimore,Glen Burnie,7,1/1/01,2001-01,2001-Q1,2001
 Security ,"8,600,000",acquired,USA,WA,Seattle,Seattle,2,1/1/01,2001-01,2001-Q1,2001
 Mobile ,"6,000,000",operating,USA,GA,Atlanta,Atlanta,2,1/1/01,2001-01,2001-Q1,2001
 Clean Energy ,"98,900,000",operating,USA,CO,Denver,Golden,3,5/1/01,2001-05,2001-Q2,2001
 Health Care ,"17,199,997",acquired,USA,NM,Albuquerque,Albuquerque,3,7/1/01,2001-07,2001-Q3,2001
 Semiconductors ,"91,081,806",operating,USA,CA,San Diego,Carlsbad,4,1/1/01,2001-01,2001-Q1,2001
 Consulting ,"15,000,000",operating,USA,IL,Chicago,Chicago,2,1/1/01,2001-01,2001-Q1,2001
 Hardware + Software ,"3,275,000",operating,USA,MN,Minneapolis,Plymouth,2,1/1/01,2001-01,2001-Q1,2001
 Education ,"100,000",operating,USA,MD,Salisbury,Cambridge,1,1/1/01,2001-01,2001-Q1,2001
 Hardware + Software ,"3,000,000",acquired,USA,OR,"Portland, Oregon",Portland,1,1/1/01,2001-01,2001-Q1,2001
 Health and Wellness ,"2,635,249",operating,USA,GA,Atlanta,Alpharetta,1,1/1/01,2001-01,2001-Q1,2001
 Customer Service ,"105,000,000",operating,USA,CA,SF Bay Area,Palo Alto,3,9/1/01,2001-09,2001-Q3,2001
 Software ,"35,800,000",operating,USA,MA,Boston,Burlington,1,1/1/01,2001-01,2001-Q1,2001
 Networking , -   ,operating,USA,PA,Allentown,Macungie,1,5/5/01,2001-05,2001-Q2,2001
 Messaging ,"5,600,000",closed,USA,WA,Seattle,Bellevue,2,1/1/01,2001-01,2001-Q1,2001
 Video on Demand ,"11,849,000",acquired,USA,MA,Boston,Cambridge,2,1/1/01,2001-01,2001-Q1,2001
 VoIP ,"4,355,000",acquired,USA,TX,Austin,Austin,2,1/1/01,2001-01,2001-Q1,2001
 Clean Technology ,"466,000,000",acquired,USA,CA,SF Bay Area,Santa Clara,5,1/1/01,2001-01,2001-Q1,2001
 Software ,"108,000,000",operating,USA,CA,San Luis Obispo,San Luis Obispo,5,1/1/01,2001-01,2001-Q1,2001
 News ,"2,200,000",operating,USA,NY,New York City,New York,1,1/1/01,2001-01,2001-Q1,2001
 Software ,"8,300,000",acquired,USA,IL,Chicago,Chicago,1,1/1/01,2001-01,2001-Q1,2001
 News ,"11,116,771",operating,USA,NY,New York City,New York,4,3/27/01,2001-03,2001-Q1,2001
 Hardware ,"35,810,000",acquired,USA,TX,Austin,Austin,2,1/1/01,2001-01,2001-Q1,2001
 Finance ,"4,125,000",acquired,USA,MA,Boston,Newton,1,1/1/01,2001-01,2001-Q1,2001
 Software ,"11,599,995",operating,USA,TX,Austin,Austin,2,1/1/01,2001-01,2001-Q1,2001
 Biotechnology ,"180,000",operating,USA,FL,Tampa,Tampa,1,1/1/01,2001-01,2001-Q1,2001
 Events ,"8,000,000",operating,USA,CO,Denver,Castle Rock,1,11/1/01,2001-11,2001-Q4,2001
 Nanotechnology ,"116,644,195",operating,USA,CA,SF Bay Area,Milpitas,7,1/1/01,2001-01,2001-Q1,2001
 Biotechnology ,"10,081,869",operating,USA,CA,SF Bay Area,San Francisco,5,1/1/01,2001-01,2001-Q1,2001
 Mobile ,"5,000,000",acquired,USA,IL,Chicago,Glenview,1,1/1/01,2001-01,2001-Q1,2001
 Software ,"16,500,000",operating,USA,CA,SF Bay Area,San Francisco,2,1/1/01,2001-01,2001-Q1,2001
 Enterprise Software ,"6,500,000",operating,USA,KS,KS - Other,Prairie Village,1,1/1/01,2001-01,2001-Q1,2001
 Hardware + Software ,"6,480,000",acquired,USA,CA,SF Bay Area,Cupertino,1,1/1/01,2001-01,2001-Q1,2001
 Curated Web ,"10,000,000",operating,USA,MD,"Washington, D.C.",Bethesda,1,1/1/01,2001-01,2001-Q1,2001
 E-Commerce , -   ,,USA,IL,Chicago,Roselle,2,1/1/01,2001-01,2001-Q1,2001
 Web Hosting ,"5,200,000",operating,USA,WA,Seattle,Vancouver,1,1/1/01,2001-01,2001-Q1,2001
 Health and Wellness ,"1,135,000",closed,USA,UT,Salt Lake City,Sandy,1,1/1/01,2001-01,2001-Q1,2001
 Semiconductors ,"15,247,925",acquired,USA,MA,Boston,Billerica,3,1/1/01,2001-01,2001-Q1,2001
 Hospitals ,"25,000,000",operating,USA,ID,ID - Other,Coeur D'alene,1,1/1/01,2001-01,2001-Q1,2001
 Software ,"29,500,000",acquired,USA,CA,SF Bay Area,San Francisco,2,1/1/01,2001-01,2001-Q1,2001
 Analytics ,"1,000,000",acquired,USA,MA,Boston,Dedham,1,1/1/01,2001-01,2001-Q1,2001
 Biotechnology ,"1,136,000",operating,USA,MD,"Washington, D.C.",Silver Spring,1,1/1/01,2001-01,2001-Q1,2001
 Nonprofits ,"3,040,000",operating,USA,DC,"Washington, D.C.",Washington,2,1/1/01,2001-01,2001-Q1,2001
 Software ,"6,000,000",operating,USA,DC,"Washington, D.C.",Washington,1,1/1/01,2001-01,2001-Q1,2001
 Software ,"264,000",operating,USA,CA,SF Bay Area,San Jose,1,1/1/01,2001-01,2001-Q1,2001
, -   ,operating,USA,TX,Dallas,Dallas,1,1/1/01,2001-01,2001-Q1,2001
 Mobile Enterprise ,"3,220,000",operating,USA,GA,Atlanta,Atlanta,1,3/1/01,2001-03,2001-Q1,2001
 Unifed Communications ,"10,019,869",operating,USA,CA,SF Bay Area,Santa Clara,2,1/1/01,2001-01,2001-Q1,2001
 Enterprise Software ,"3,100,000",operating,USA,NY,New York City,New York,2,1/1/01,2001-01,2001-Q1,2001
 Biotechnology ,"94,000,000",operating,USA,CA,SF Bay Area,Palo Alto,2,1/1/01,2001-01,2001-Q1,2001
 Diabetes ,"10,201,670",operating,USA,MO,St. Louis,Saint Louis,2,1/1/01,2001-01,2001-Q1,2001
 Software ,"10,000,000",acquired,USA,MA,Boston,Waltham,1,1/1/01,2001-01,2001-Q1,2001
 Biotechnology ,"1,500,000",operating,USA,WA,Seattle,Seattle,1,1/1/01,2001-01,2001-Q1,2001
 Biotechnology ,"19,300,000",operating,USA,MD,Baltimore,Annapolis,1,1/1/01,2001-01,2001-Q1,2001
 Hardware + Software ,"50,000",operating,USA,PA,PA - Other,Chester Heights,1,1/1/01,2001-01,2001-Q1,2001
 Health and Wellness ,"8,176,280",operating,USA,MD,Baltimore,Baltimore,1,1/1/01,2001-01,2001-Q1,2001
 Consulting ,"91,953,325",operating,USA,MA,Boston,Billerica,8,1/1/01,2001-01,2001-Q1,2001
 Software ,"56,990,480",operating,USA,SC,"Charleston, South Carolina",Charleston,7,1/1/01,2001-01,2001-Q1,2001
 Biotechnology ,"930,000",operating,USA,FL,Florida's Space Coast,Melbourne Beach,1,1/1/01,2001-01,2001-Q1,2001
 Software ,"7,500,000",acquired,USA,CA,SF Bay Area,Mountain View,1,1/1/01,2001-01,2001-Q1,2001
 Health Care ,"122,476",operating,USA,FL,Palm Beaches,Delray Beach,2,1/1/01,2001-01,2001-Q1,2001
 Automotive ,"500,000",operating,USA,CA,SF Bay Area,Pleasanton,1,1/1/01,2001-01,2001-Q1,2001
 Software ,"5,300,000",,USA,FL,Orlando,Orlando,1,1/1/01,2001-01,2001-Q1,2001
 Software ,"2,150,000",acquired,USA,NJ,Newark,Atlantic Highlands,2,1/1/01,2001-01,2001-Q1,2001
,"23,017,556",operating,USA,AZ,Phoenix,Phoenix,1,1/1/01,2001-01,2001-Q1,2001
 Security ,"29,132,871",operating,USA,VA,"Washington, D.C.",Charlottesville,7,1/1/01,2001-01,2001-Q1,2001
 Biotechnology ,"7,886,028",operating,USA,WV,WV - Other,Morgantown,7,1/1/01,2001-01,2001-Q1,2001
 Biotechnology ,"126,538,660",operating,USA,MA,Boston,Waltham,5,1/1/01,2001-01,2001-Q1,2001
 Biotechnology ,"42,949,979",operating,USA,CA,SF Bay Area,Redwood City,2,1/1/01,2001-01,2001-Q1,2001
 Health Care ,"291,549,979",operating,USA,CA,SF Bay Area,Redwood City,9,1/1/01,2001-01,2001-Q1,2001
 Hospitality ,"1,897,428",operating,USA,MA,Boston,Gloucester,2,1/1/01,2001-01,2001-Q1,2001
 Biotechnology ,"750,000",operating,USA,RI,Providence,East Providence,1,1/1/01,2001-01,2001-Q1,2001
 Hardware + Software ,"68,200,000",acquired,USA,CA,Anaheim,Irvine,6,9/1/01,2001-09,2001-Q3,2001
 Security ,"9,000,000",acquired,USA,MA,Boston,Waltham,1,1/1/01,2001-01,2001-Q1,2001
 Data Centers ,"10,360,000",operating,USA,CA,SF Bay Area,Palo Alto,1,1/1/01,2001-01,2001-Q1,2001
 Semiconductors ,"34,231,994",acquired,USA,CA,SF Bay Area,Santa Clara,4,1/1/01,2001-01,2001-Q1,2001
 Software ,"24,900,000",operating,USA,GA,Atlanta,Atlanta,4,1/1/01,2001-01,2001-Q1,2001
 Biotechnology ,"42,500,005",operating,USA,CT,Hartford,Westport,2,1/1/01,2001-01,2001-Q1,2001
 Enterprise Software ,"15,000,000",operating,USA,MA,Boston,Westwood,1,1/1/01,2001-01,2001-Q1,2001
 Health and Wellness ,"68,850,000",operating,USA,CO,Denver,Boulder,5,1/1/01,2001-01,2001-Q1,2001
 Hardware + Software ,"25,500,000",operating,USA,VA,"Washington, D.C.",Herndon,2,1/1/01,2001-01,2001-Q1,2001
 Software ,"1,000,000",operating,USA,CA,SF Bay Area,Sunnyvale,1,1/1/01,2001-01,2001-Q1,2001
 Automotive ,"38,890,000",operating,USA,VA,"Washington, D.C.",Reston,6,1/1/01,2001-01,2001-Q1,2001
 Defense ,"2,250,000",operating,USA,PA,Pittsburgh,Pittsburgh,2,1/1/01,2001-01,2001-Q1,2001
 Public Transportation ,"1,620,000",operating,USA,CA,San Diego,San Diego,1,1/1/01,2001-01,2001-Q1,2001
 Curated Web ,"15,208,936",operating,USA,FL,Miami,Miami Beach,5,4/9/01,2001-04,2001-Q2,2001
 Games ,"2,000,000",acquired,USA,WA,Seattle,Seattle,1,1/1/01,2001-01,2001-Q1,2001
 Finance ,"22,740",operating,USA,,USA - Other,,1,9/1/01,2001-09,2001-Q3,2001
 Analytics ,"11,800,000",operating,USA,NJ,Newark,Parsippany,3,1/1/01,2001-01,2001-Q1,2001
 Enterprises ,"9,000,000",operating,USA,TX,Dallas,Dallas,1,9/1/01,2001-09,2001-Q3,2001
 Security ,"2,750,000",operating,USA,MA,Boston,Woburn,1,1/1/01,2001-01,2001-Q1,2001
 Retail ,"72,700,000",operating,USA,MA,Boston,Dedham,4,1/1/01,2001-01,2001-Q1,2001
 Health Care ,"177,000,000",operating,USA,NC,Raleigh,Durham,5,1/1/01,2001-01,2001-Q1,2001
 Biotechnology ,"15,000,000",acquired,USA,CA,SF Bay Area,Mountain View,1,1/1/01,2001-01,2001-Q1,2001
 Analytics ,"5,500,000",operating,USA,TN,Memphis,Memphis,2,1/1/01,2001-01,2001-Q1,2001
 Software ,"2,500,000",operating,USA,NE,Omaha,Omaha,1,1/1/01,2001-01,2001-Q1,2001
 Advertising ,"84,590,402",operating,USA,CA,SF Bay Area,San Ramon,7,1/1/01,2001-01,2001-Q1,2001
 Biotechnology ,"3,700,000",operating,USA,MA,Boston,Cambridge,2,1/1/01,2001-01,2001-Q1,2001
 Hardware + Software ,"12,000,000",operating,USA,VT,VT - Other,Essex Junction,1,1/1/01,2001-01,2001-Q1,2001
 Software ,"25,000,000",operating,USA,MA,Boston,Lexington,1,1/1/01,2001-01,2001-Q1,2001
 Music , -   ,operating,USA,WA,Seattle,Seattle,2,1/1/01,2001-01,2001-Q1,2001
 Software ,"2,300,000",operating,USA,NJ,Newark,Clark,1,1/1/01,2001-01,2001-Q1,2001
 Health Care ,"33,620,000",operating,USA,FL,"Naples, Florida",Naples,1,1/1/01,2001-01,2001-Q1,2001
 Biotechnology ,"256,000",operating,USA,CO,Denver,Wheat Ridge,1,1/1/01,2001-01,2001-Q1,2001
 Software ,"14,000,000",acquired,USA,TX,Austin,Austin,1,1/1/01,2001-01,2001-Q1,2001
 Web Hosting ,"6,000,000",acquired,USA,CO,Denver,Westminster,1,1/1/01,2001-01,2001-Q1,2001
 Biotechnology ,"30,649",operating,USA,OH,Cleveland,Cleveland,1,1/1/01,2001-01,2001-Q1,2001
 E-Commerce ,"2,620,018",acquired,USA,GA,Atlanta,Kennesaw,1,1/1/01,2001-01,2001-Q1,2001
,"1,875,000",,USA,AZ,Phoenix,Scottsdale,1,3/19/01,2001-03,2001-Q1,2001
 Electronics ,"29,872,425",operating,USA,NM,Albuquerque,Albuquerque,7,1/1/01,2001-01,2001-Q1,2001
 Enterprise Software ,"18,687,288",acquired,USA,WA,Seattle,Kirkland,3,1/1/01,2001-01,2001-Q1,2001
 Health and Wellness ,"40,000,000",operating,USA,NC,Raleigh,Durham,1,1/1/01,2001-01,2001-Q1,2001
 Semiconductors ,"15,535,451",acquired,USA,CA,SF Bay Area,Sunnyvale,3,1/1/01,2001-01,2001-Q1,2001
 Software ,"9,250,000",acquired,USA,VA,"Washington, D.C.",Mclean,1,1/1/01,2001-01,2001-Q1,2001
 Clean Technology ,"161,040,000",operating,USA,NH,"Manchester, New Hampshire",Bedford,3,1/1/01,2001-01,2001-Q1,2001
 Biotechnology ,"5,500,000",operating,USA,MA,Boston,Cambridge,2,1/1/01,2001-01,2001-Q1,2001
 Messaging ,"33,000,000",operating,USA,NY,New York City,New York,3,1/1/01,2001-01,2001-Q1,2001
 Biotechnology ,"227,979",operating,USA,NY,"Rochester, New York",Pittsford,1,1/1/01,2001-01,2001-Q1,2001
 Hardware + Software ,"8,000,000",operating,USA,OR,"Portland, Oregon",Hillsboro,2,1/1/01,2001-01,2001-Q1,2001
 E-Commerce , -   ,operating,USA,NY,NY - Other,Orchard Park,1,8/20/01,2001-08,2001-Q3,2001
 Software ,"1,300,000",operating,USA,MA,Boston,Lawrence,1,9/13/01,2001-09,2001-Q3,2001
 Mobile Commerce ,"10,000,000",operating,USA,CA,San Luis Obispo,San Luis Obispo,2,10/10/01,2001-10,2001-Q4,2001
 Software ,"370,561",operating,USA,CA,SF Bay Area,Sunnyvale,2,1/1/01,2001-01,2001-Q1,2001
 Semiconductors ,"5,750,000",operating,USA,CA,SF Bay Area,Santa Clara,4,10/1/01,2001-10,2001-Q4,2001
 Software ,"12,600,032",operating,USA,MA,Boston,Burlington,3,1/1/01,2001-01,2001-Q1,2001
 Photography ,"7,100,000",acquired,USA,CA,SF Bay Area,San Francisco,2,1/1/01,2001-01,2001-Q1,2001
 Mobile ,"11,169,005",operating,USA,CA,San Diego,Encinitas,3,1/1/01,2001-01,2001-Q1,2001
 Biotechnology ,"9,600,000",,USA,WA,Seattle,Seattle,1,1/1/01,2001-01,2001-Q1,2001
 Hardware + Software ,"12,000,000",closed,USA,MA,Boston,Bedford,1,1/1/01,2001-01,2001-Q1,2001
 Software ,"7,000,000",acquired,USA,CA,SF Bay Area,San Francisco,1,1/1/01,2001-01,2001-Q1,2001
 Curated Web ,"48,100,000",operating,USA,IL,Chicago,Chicago,5,1/1/01,2001-01,2001-Q1,2001
 Mobile ,"2,600,000",closed,USA,CA,SF Bay Area,San Francisco,1,1/1/01,2001-01,2001-Q1,2001
 Software ,"4,000,000",closed,USA,FL,Tampa,Tampa,1,1/1/01,2001-01,2001-Q1,2001
 Curated Web ,"1,000,000",operating,USA,CA,SF Bay Area,San Jose,1,8/1/01,2001-08,2001-Q3,2001
 Health Care ,"125,000",operating,USA,VA,Richmond,Richmond,1,1/1/01,2001-01,2001-Q1,2001
 Home & Garden ,"8,660,000",operating,USA,TN,Chattanooga,Chattanooga,6,1/1/01,2001-01,2001-Q1,2001
 Services ,"20,690,000",operating,USA,CT,Hartford,Norwalk,2,6/1/01,2001-06,2001-Q2,2001
 Medical , -   ,operating,USA,AR,Little Rock,Little Rock,1,1/1/01,2001-01,2001-Q1,2001
 Networking , -   ,operating,USA,FL,Orlando,Mount Dora,1,3/13/01,2001-03,2001-Q1,2001
 Analytics , -   ,operating,USA,WA,Seattle,Seattle,1,1/1/01,2001-01,2001-Q1,2001
 Software ,"3,550,000",operating,USA,CA,San Diego,Carlsbad,1,1/1/01,2001-01,2001-Q1,2001
 Software ,"21,000,000",operating,USA,CA,Los Angeles,Los Angeles,2,1/1/01,2001-01,2001-Q1,2001
 Enterprise Software , -   ,acquired,USA,CA,SF Bay Area,Sunnyvale,1,1/1/01,2001-01,2001-Q1,2001
 Biotechnology ,"4,920,000",operating,USA,CA,Anaheim,Irvine,2,1/1/01,2001-01,2001-Q1,2001
 Medical ,"1,015,000",operating,USA,OR,"Portland, Oregon",Beaverton,4,8/30/01,2001-08,2001-Q3,2001
 Healthcare Services ,"16,515,105",operating,USA,WA,Seattle,Seattle,2,1/1/01,2001-01,2001-Q1,2001
 Nanotechnology ,"5,700,000",operating,USA,OK,Oklahoma City,Norman,3,1/1/01,2001-01,2001-Q1,2001
 Transportation ,"2,500,000",operating,USA,GA,Atlanta,Atlanta,1,1/1/01,2001-01,2001-Q1,2001
 Health Care ,"17,500,000",operating,USA,CT,Hartford,Shelton,1,2/1/01,2001-02,2001-Q1,2001
 Manufacturing ,"34,320",operating,USA,UT,Salt Lake City,Salt Lake City,1,1/1/01,2001-01,2001-Q1,2001
 Hardware + Software ,"3,220,000",operating,USA,VA,Norfolk - Virginia Beach,Virginia Beach,2,1/1/01,2001-01,2001-Q1,2001
 Doctors ,"5,850,000",operating,USA,AZ,Phoenix,Scottsdale,4,1/1/01,2001-01,2001-Q1,2001
 Biotechnology ,"570,746",operating,USA,PA,Pittsburgh,Pittsburgh,1,1/1/01,2001-01,2001-Q1,2001
 E-Commerce , -   ,operating,USA,OR,"Portland, Oregon",Tigard,1,7/1/01,2001-07,2001-Q3,2001
 Enterprise Software ,"44,541,657",acquired,USA,TX,Austin,Austin,5,1/1/01,2001-01,2001-Q1,2001
 Software ,"10,700,000",acquired,USA,CO,Denver,Denver,5,1/1/01,2001-01,2001-Q1,2001
 Software , -   ,operating,USA,CO,Denver,Denver,1,1/1/01,2001-01,2001-Q1,2001
 Biotechnology ,"532,500",operating,USA,PA,Philadelphia,Exton,1,1/1/01,2001-01,2001-Q1,2001
 Semiconductors ,"26,200,000",acquired,USA,CA,"Orange County, California",Laguna Niguel,3,1/1/01,2001-01,2001-Q1,2001
 Email ,"17,000,000",operating,USA,NY,Buffalo,Buffalo,1,1/1/01,2001-01,2001-Q1,2001
 Health and Wellness ,"17,000,000",operating,USA,CA,San Diego,Carlsbad,2,1/1/01,2001-01,2001-Q1,2001
 Biotechnology ,"16,103,380",operating,USA,MD,"Washington, D.C.",Rockville,2,1/1/01,2001-01,2001-Q1,2001
 Software ,"7,000,000",operating,USA,OH,"Columbus, Ohio",Dublin,2,1/1/01,2001-01,2001-Q1,2001
 Software ,"57,884,800",operating,USA,PA,Philadelphia,King Of Prussia,3,1/1/01,2001-01,2001-Q1,2001
 Mobile ,"33,000,000",acquired,USA,MA,Boston,Acton,5,1/1/01,2001-01,2001-Q1,2001
 Software ,"6,000,000",operating,USA,RI,Providence,Providence,1,1/1/01,2001-01,2001-Q1,2001
 Education , -   ,operating,USA,OH,"Columbus, Ohio",Columbus,1,1/1/01,2001-01,2001-Q1,2001
 Medical ,"2,238,920",operating,USA,AR,Fayetteville,Fayetteville,2,1/1/01,2001-01,2001-Q1,2001
 Software ,"10,000,000",operating,USA,CA,SF Bay Area,Redwood City,1,1/1/01,2001-01,2001-Q1,2001
 Semiconductors ,"62,600,000",acquired,USA,CA,Napa Valley,Petaluma,5,1/1/01,2001-01,2001-Q1,2001
 Public Relations ,"26,000,000",operating,USA,CA,Los Angeles,El Segundo,1,1/1/01,2001-01,2001-Q1,2001
 Fleet Management ,"95,000,000",operating,USA,CA,Anaheim,Aliso Viejo,4,3/1/01,2001-03,2001-Q1,2001
 Web Hosting ,"7,000,000",operating,USA,CO,Denver,Westminster,1,1/1/01,2001-01,2001-Q1,2001
 Software ,"400,000",operating,USA,HI,Honolulu,Honolulu,2,1/1/01,2001-01,2001-Q1,2001
 Finance ,"90,000,000",,USA,TX,Dallas,Fort Worth,2,1/1/01,2001-01,2001-Q1,2001
 Games ,"7,000,000",operating,USA,CA,SF Bay Area,San Francisco,2,3/30/01,2001-03,2001-Q1,2001
 Advertising ,"22,500,000",operating,USA,MD,Baltimore,Columbia,2,1/1/01,2001-01,2001-Q1,2001
 Health Care ,"55,000,000",operating,USA,CA,SF Bay Area,South San Francisco,2,1/1/01,2001-01,2001-Q1,2001
 Software , -   ,operating,USA,AL,Birmingham,Birmingham,1,1/1/01,2001-01,2001-Q1,2001
 Semiconductors ,"7,500,000",operating,USA,MA,Boston,Andover,1,1/1/01,2001-01,2001-Q1,2001
 Biotechnology ,"13,939,309",operating,USA,HI,Honolulu,Honolulu,4,1/1/01,2001-01,2001-Q1,2001
 Biotechnology ,"22,790,000",operating,USA,FL,Miami,Miami,4,1/1/01,2001-01,2001-Q1,2001
 Software ,"11,311,711",acquired,USA,CT,Hartford,Glastonbury,1,4/1/01,2001-04,2001-Q2,2001
 Enterprise Software , -   ,operating,USA,OH,Cincinnati,Cincinnati,1,1/1/01,2001-01,2001-Q1,2001
 Software ,"7,634,742",operating,USA,CA,SF Bay Area,San Mateo,3,1/1/01,2001-01,2001-Q1,2001
 Software ,"1,800,000",operating,USA,FL,Florida's Treasure Coast,Stuart,1,1/1/01,2001-01,2001-Q1,2001
 Enterprise Software ,"6,500,000",operating,USA,NY,New York City,New York,1,1/1/01,2001-01,2001-Q1,2001
 Web Hosting ,"8,500,000",acquired,USA,CA,SF Bay Area,San Ramon,1,1/1/01,2001-01,2001-Q1,2001
 Software ,"10,000,000",acquired,USA,CO,Denver,Greenwood Village,1,1/1/01,2001-01,2001-Q1,2001
 Manufacturing ,"13,000,000",operating,USA,MA,Boston,Burlington,1,1/1/01,2001-01,2001-Q1,2001
 Health and Wellness ,"4,085,740",operating,USA,NJ,Newark,Tenafly,1,1/1/01,2001-01,2001-Q1,2001
 Hardware + Software ,"200,000",operating,USA,TX,Dallas,Frisco,1,1/1/01,2001-01,2001-Q1,2001
 Enterprise Software ,"10,500,000",operating,USA,CA,SF Bay Area,Santa Clara,1,1/1/01,2001-01,2001-Q1,2001
 Software , -   ,operating,USA,AR,Little Rock,Little Rock,1,1/1/01,2001-01,2001-Q1,2001
 Sales and Marketing ,"15,291,100",operating,USA,CA,SF Bay Area,Redwood City,1,1/1/01,2001-01,2001-Q1,2001
 Health Care ,"25,548,170",operating,USA,CA,Anaheim,San Clemente,2,1/1/01,2001-01,2001-Q1,2001
 Software ,"8,500,000",acquired,USA,CA,SF Bay Area,San Mateo,1,1/1/01,2001-01,2001-Q1,2001
 Biotechnology ,"10,723,891",operating,USA,NJ,Newark,Cresskill,5,1/1/01,2001-01,2001-Q1,2001
 Real Estate , -   ,operating,USA,CA,SF Bay Area,San Francisco,1,1/1/01,2001-01,2001-Q1,2001
 Semiconductors ,"22,000,000",acquired,USA,CA,San Diego,San Diego,2,1/1/01,2001-01,2001-Q1,2001
 Mobile ,"10,000,000",operating,USA,MA,Boston,Watertown,1,1/1/01,2001-01,2001-Q1,2001
 Biotechnology ,"26,107,993",operating,USA,MA,Boston,Cambridge,9,1/1/01,2001-01,2001-Q1,2001
 App Marketing ,"32,034,118",operating,USA,CA,SF Bay Area,San Francisco,3,1/1/01,2001-01,2001-Q1,2001
, -   ,operating,USA,AR,Fayetteville,Fayetteville,1,6/1/01,2001-06,2001-Q2,2001
 Software ,"16,542,968",operating,USA,WA,Seattle,Seattle,4,1/1/01,2001-01,2001-Q1,2001
 Health Care ,"8,745,000",operating,USA,SC,"Charleston, South Carolina",Mount Pleasant,1,1/1/01,2001-01,2001-Q1,2001
 Enterprise Software ,"12,500,000",operating,USA,TX,Austin,College Station,4,1/1/01,2001-01,2001-Q1,2001
 Software ,"4,417,566",acquired,USA,CA,SF Bay Area,San Francisco,2,1/1/01,2001-01,2001-Q1,2001
 Biotechnology ,"24,200,000",operating,USA,MI,Kalamazoo,Kalamazoo,3,1/1/01,2001-01,2001-Q1,2001
 Software ,"1,700,000",operating,USA,MA,Boston,Wakefield,1,1/1/01,2001-01,2001-Q1,2001
 Advertising ,"40,000,000",operating,USA,KY,Lexington,Lexington,1,1/1/01,2001-01,2001-Q1,2001
 Security ,"5,136,706",acquired,USA,CO,Denver,Greenwood Village,1,1/1/01,2001-01,2001-Q1,2001
 Enterprise Software ,"13,950,000",operating,USA,CA,SF Bay Area,Larkspur,4,1/1/01,2001-01,2001-Q1,2001
,"1,102,000",operating,USA,CA,Napa Valley,Napa,1,1/1/01,2001-01,2001-Q1,2001
 Health Care ,"40,000,000",acquired,USA,CA,Anaheim,Irvine,1,1/1/01,2001-01,2001-Q1,2001
 Biotechnology ,"10,717,253",operating,USA,AZ,Phoenix,Phoenix,6,1/1/01,2001-01,2001-Q1,2001
 Mobile ,"4,700,000",acquired,USA,CA,SF Bay Area,Redwood City,1,1/1/01,2001-01,2001-Q1,2001
 Biotechnology ,"13,570,000",operating,USA,CA,SF Bay Area,Fremont,2,1/1/01,2001-01,2001-Q1,2001
 Software ,"6,400,000",acquired,USA,CA,SF Bay Area,Mountain View,1,1/1/01,2001-01,2001-Q1,2001
 Software ,"13,536,110",operating,USA,WA,Seattle,Bellevue,2,1/1/01,2001-01,2001-Q1,2001
 Advertising ,"273,834,120",operating,USA,NY,New York City,New York,5,1/1/01,2001-01,2001-Q1,2001
 Telecommunications ,"225,000,000",operating,USA,NJ,Newark,Holmdel,1,1/1/01,2001-01,2001-Q1,2001
 Software ,"20,000,000",acquired,USA,CA,SF Bay Area,San Francisco,2,1/1/01,2001-01,2001-Q1,2001
 Enterprise Software ,"20,000,000",operating,USA,CA,SF Bay Area,San Jose,2,1/1/01,2001-01,2001-Q1,2001
 Enterprise Software ,"33,000,000",acquired,USA,CA,SF Bay Area,Alameda,3,1/1/01,2001-01,2001-Q1,2001
 Finance , -   ,operating,USA,NJ,Newark,Jersey City,1,8/13/01,2001-08,2001-Q3,2001
 Health Care ,"21,974,592",operating,USA,TX,Dallas,Plano,4,1/1/01,2001-01,2001-Q1,2001
 Hardware + Software ,"1,200,000",acquired,USA,CA,SF Bay Area,Santa Clara,1,1/1/01,2001-01,2001-Q1,2001
 Retail ,"50,000",operating,USA,CA,Los Angeles,Los Angeles,1,1/1/01,2001-01,2001-Q1,2001
 Software ,"12,805,001",operating,USA,CO,Denver,Denver,3,1/1/01,2001-01,2001-Q1,2001
 Curated Web ,"12,000,000",acquired,USA,MD,"Washington, D.C.",Silver Spring,2,6/1/01,2001-06,2001-Q2,2001
 Local Advertising ,"37,000,000",operating,USA,CA,CA - Other,Playa Vista,3,1/1/01,2001-01,2001-Q1,2001
 Hardware + Software ,"392,971",operating,USA,NM,Albuquerque,Albuquerque,1,1/1/01,2001-01,2001-Q1,2001
,"200,000",operating,USA,CA,Anaheim,Aliso Viejo,1,1/1/01,2001-01,2001-Q1,2001
 Clean Technology , -   ,operating,USA,KS,Kansas City,Lawrence,1,1/1/01,2001-01,2001-Q1,2001
 Security ,"49,900,000",operating,USA,CA,SF Bay Area,Santa Clara,5,8/1/01,2001-08,2001-Q3,2001
 Celebrity ,"15,000,000",acquired,USA,NY,New York City,New York,1,1/1/01,2001-01,2001-Q1,2001
